俗に「道楽の行き止まり」ともいわれる、「フナに始まりフナに終わる」とされる趣味は何でしょう？,釣り,1,クイズを始めるための問題集,1,0,0,0,0
虹の色を 7 色に決めたとされる、リンゴが落ちるのを見て万有引力を発見したといわれるイギリスの科学者は誰でしょう？,アイザック・ニュートン,2,クイズを始めるための問題集,1,0,0,0,0
1582 年の備中高松城の戦いの際に、有名な水攻めを行った戦国武将は誰でしょう？,豊臣秀吉,3,クイズを始めるための問題集,1,0,0,0,0
スペイン語で「くりの実」という意味がある、フラメンコなどに用いられる打楽器は何でしょう？,カスタネット,4,クイズを始めるための問題集,1,0,0,0,0
1 日の長さを時間で表すと 24 時間ですが、分で表すと何分になるでしょう？,1440 分,5,クイズを始めるための問題集,1,0,0,0,0
1972 年までは「セイロン」と呼ばれていた、アジアの島国はどこでしょう？,スリランカ,6,クイズを始めるための問題集,1,0,0,0,0
歴代の天皇が皇位継承のしるしとして受け継いだ八咫鏡(やたのかがみ)、天叢雲剣(あまのむらくものつるぎ)、八坂瓊曲玉(やさかにのまがたま)  を総称して何というでしょう？,三種の神器,7,クイズを始めるための問題集,1,0,0,0,0
別名を「マーカス島」という、東京都小笠原村に属する日本最東端の島はどこでしょう？,南鳥島,8,クイズを始めるための問題集,1,0,0,0,0
室町時代に行なわれた勘合貿易は、日本と中国の何という王朝の間で行われた貿易でしょう？,明（みん）,9,クイズを始めるための問題集,1,0,0,0,0
ブラジルの国家資格「クラシフィカドール」とは、どんな嗜好品の鑑定士のことでしょう？,コーヒー,10,クイズを始めるための問題集,1,0,0,0,0
体に悪いタバコと、体によいトマトはいずれも何科の植物でしょう？,ナス科,11,クイズを始めるための問題集,1,0,0,0,0
日本の定型詩で、俳句の文字数は 17 文字ですが、短歌の文字数はいくつでしょう？,31 文字,12,クイズを始めるための問題集,1,0,0,0,0
「屋上」を表す英単語の略である、エレベーターで屋上を意味するアルファベット 1 文字は何でしょう？,R,13,クイズを始めるための問題集,1,0,0,0,0
化学式 C11H17N3O8 で表される、アカハライモリやフグの毒の主成分は何でしょう？,テトロドトキシン,14,クイズを始めるための問題集,1,0,0,0,0
湖畔には高村光太郎作の乙女の像が建てられている、青森県・秋田県の県境に位置する湖は何でしょう？,十和田湖,15,クイズを始めるための問題集,1,0,0,0,0
25 セント硬貨や 1 ドル貨幣の肖像画となっている、アメリカの初代大統領は誰でしょう？,ジョージ・ワシントン,16,クイズを始めるための問題集,1,0,0,0,0
チルチルとミチルの兄妹（きょうだい）が幸せの象徴となるある動物を探しに行く、メーテルリンクの童話は何でしょう？,『青い鳥』,17,クイズを始めるための問題集,1,0,0,0,0
「ごちそう」という言葉の語源問題集になったとされる、よく足が速い人を例えるのに用いられるインドの神さまはどなたでしょう？,韋駄天,18,クイズを始めるための問題集,1,0,0,0,0
ことわざで、俗に「あとに効く」とされているものは、親の意見と何でしょう？,冷や酒,19,クイズを始めるための問題集,1,0,0,0,0
アナログ時計の短針は、1 時間で何度進むでしょう？,30 度,20,クイズを始めるための問題集,1,0,0,0,0
水銀体温計の目盛りで、赤い文字で書かれているのは何度でしょう？,37 度,21,クイズを始めるための問題集,1,0,0,0,0
海岸の近くで朝方や夕方に起こる、風がやみ波が静かになる状態を何というでしょう？,凪（なぎ）,22,クイズを始めるための問題集,1,0,0,0,0
グループ名はメンバー4 人の名前の頭文字にちなむ、『マンマ・ミーア』『ダンシング・クイーン』などで知られるスウェーデンの音楽グループは何でしょう？,ABBA（アバ）,23,クイズを始めるための問題集,1,0,0,0,0
前世の行いによって渡る場所が 3 つに分かれているという、仏教で死人が渡るといわれている川は何でしょう？,三途の川,24,クイズを始めるための問題集,1,0,0,0,0
主人公のカン・ジュンサンをペ・ヨンジュンが演じた、日本での韓流ブームの火付け役となった懐かしのドラマは何でしょう？,『冬のソナタ』,25,クイズを始めるための問題集,1,0,0,0,0
「一本足打法」を武器に 868 本という日本プロ野球通算最多ホームラン記録を樹立した、元プロ野球選手は誰でしょう？,王貞治,26,クイズを始めるための問題集,1,0,0,0,0
「平家星」とも呼ばれる、おおいぬ座のシリウス、こいぬ座のプロキオンとともに「冬の大三角形」をなすオリオン座の星は何でしょう？,ベテルギウス,27,クイズを始めるための問題集,1,0,0,0,0
粒の大きさから「ベルーガ」「オシェトラ」「セブルーガ」に大別される、世界三大珍味にも数えられるチョウザメの卵は何でしょう？,キャビア,28,クイズを始めるための問題集,1,0,0,0,0
広島市や東広島市が位置するのは広島県ですが、北広島市が位置する都道府県はどこでしょう？,北海道,29,クイズを始めるための問題集,1,0,0,0,0
『ガラス玉演戯』『車輪の下』『デミアン』などの小説で知られる、ドイツの作家は誰でしょう？,ヘルマン・ヘッセ,30,クイズを始めるための問題集,1,0,0,0,0
石川県の大部分を占める、日本海に面する半島は何でしょう？,能登半島,31,クイズを始めるための問題集,1,0,0,0,0
長さ 450m で重さが 0.05 グラムのものを 1 とする糸の太さの単位で、現在はストッキングやタイツの厚さの目安として用いられるのは何でしょう？,デニール,32,クイズを始めるための問題集,1,0,0,0,0
